{'queryset/testMaterial/imagesgravel7.jpeg': 0, 'queryset/testMaterial/indexgravel3.jpeg': 0, 'queryset/testMaterial/gravelTest2.jpeg': 0, 'queryset/testMaterial/indexgravel4.jpeg': 0, 'queryset/testMaterial/indexgravel5.jpeg': 0, 'queryset/testMaterial/indexgravel.jpeg': 0, 'queryset/testMaterial/imagesgravel9.jpeg': 0, 'queryset/testMaterial/imagesgravel8.jpeg': 0, 'queryset/testMaterial/indexgravel6.jpeg': 0, 'queryset/testMaterial/imagesgravel12.jpeg': 0, 'queryset/testMaterial/indexgravel10.jpeg': 0, 'queryset/testMaterial/imagesgravel13.jpeg': 0, 'queryset/testMaterial/indexgravel11.jpeg': 0, 'queryset/testMaterial/gravelTest111.jpeg': 0, 'queryset/testMaterial/indexgravel2.jpeg': 0}
[3, 8]
Displaying scores for queryset/testMaterial/imagesgravel7.jpeg ** 

trainset/sand/sand5.jpeg has score 0.574
trainset/sand/sand2.jpeg has score 0.639
trainset/mixture/mixture5.jpeg has score 1.593
trainset/sand/sand4.jpeg has score 1.618
trainset/sand/sand114.jpeg has score 1.773
trainset/sand/sand126.jpeg has score 1.823
trainset/mixture/mixture6.jpeg has score 1.892
trainset/mixture/mixture7.jpeg has score 1.931
trainset/mixture/mixture2.jpeg has score 2.081
trainset/sand/sand124.jpeg has score 2.164
trainset/sand/sand121.jpeg has score 2.17
trainset/mixture/mixture1.jpeg has score 2.286
trainset/sand/sand122.jpeg has score 2.452
trainset/mixture/mixture10.jpeg has score 2.64
trainset/gravel/gravel114.jpeg has score 2.755
trainset/sand/sand123.jpeg has score 2.882
trainset/bitumin/bitumin127.jpeg has score 3.113
trainset/sand/sand116.jpeg has score 3.161
trainset/sand/sand111.jpeg has score 3.332
trainset/bitumin/bitumin128.jpeg has score 3.332
trainset/sand/sand1.jpeg has score 3.403
trainset/mixture/mixture8.jpeg has score 3.428
trainset/bitumin/bitumin129.jpeg has score 3.433
trainset/bitumin/bitumin120.jpeg has score 3.538
trainset/sand/sand125.jpeg has score 3.596
trainset/bitumin/bitumin133.jpeg has score 3.601
trainset/bitumin/bitumin132.jpeg has score 3.601
trainset/bitumin/bitumin118.jpeg has score 3.61
trainset/mixture/mixture3.jpeg has score 3.613
trainset/sand/sand115.jpeg has score 3.7
trainset/mixture/mixture4.jpeg has score 3.804
trainset/bitumin/bitumin130.jpeg has score 3.836
trainset/bitumin/bitumin115.jpeg has score 3.919
trainset/bitumin/bitumin131.jpeg has score 4.004
trainset/mixture/mixture9.jpeg has score 4.161
trainset/bitumin/bitumin125.jpeg has score 4.162
trainset/sand/sand118.jpeg has score 4.171
trainset/bitumin/bitumin117.jpeg has score 4.203
trainset/bitumin/bitumin134.jpeg has score 4.211
trainset/sand/sand127.jpeg has score 4.422
trainset/sand/sand120.jpeg has score 4.424
trainset/bitumin/bitumin124.jpeg has score 4.434
trainset/bitumin/bitumin116.jpeg has score 4.445
trainset/bitumin/bitumin112.jpeg has score 4.499
trainset/bitumin/bitumin123.jpeg has score 4.669
trainset/bitumin/bitumin113.jpeg has score 4.723
trainset/bitumin/bitumin114.jpeg has score 4.725
trainset/bitumin/bitumin126.jpeg has score 4.794
trainset/gravel/gravel132.jpeg has score 4.836
trainset/sand/sand119.jpeg has score 4.937
trainset/bitumin/bitumin121.jpeg has score 5.131
trainset/sand/sand113.jpeg has score 5.248
trainset/gravel/gravel124.jpeg has score 5.307
trainset/sand/sand117.jpeg has score 5.367
trainset/gravel/gravel133.jpeg has score 5.423
trainset/gravel/gravel131.jpeg has score 5.423
trainset/bitumin/bitumin122.jpeg has score 5.444
trainset/gravel/gravel135.jpeg has score 5.509
trainset/bitumin/bitumin119.jpeg has score 5.597
trainset/bitumin/bitumin111.jpeg has score 5.639
trainset/gravel/gravel129.jpeg has score 6.03
trainset/sand/sand112.jpeg has score 6.111
trainset/gravel/gravel111.jpeg has score 6.621
trainset/gravel/gravel134.jpeg has score 6.861
trainset/gravel/gravel113.jpeg has score 7.265
trainset/gravel/gravel130.jpeg has score 7.885
trainset/gravel/gravel115.jpeg has score 8.347
trainset/gravel/gravel126.jpeg has score 8.599
trainset/gravel/gravel119.jpeg has score 8.647
trainset/gravel/gravel118.jpeg has score 8.761
trainset/gravel/gravel117.jpeg has score 8.781
trainset/gravel/gravel112.jpeg has score 9.028
trainset/gravel/gravel125.jpeg has score 9.495
trainset/gravel/gravel116.jpeg has score 9.515
trainset/sand/sand3.jpeg has score 9.575
trainset/gravel/gravel136.jpeg has score 10.053
trainset/gravel/gravel122.jpeg has score 10.775
trainset/gravel/gravel123.jpeg has score 10.834
trainset/gravel/gravel121.jpeg has score 11.538
trainset/gravel/gravel128.jpeg has score 12.025
